,Station_id,Name
247,63925,St. Gallen Haggen
248,63008,St. Gallen Winkeln
249,63149,St. Margrethen
250,91538,St. Peter Molinis
251,154286,Stabio Cargo
252,82511,Steffisburg
253,3202,Stein-Säckingen
254,44172,Studen Auto
255,44131,Suberg-Grossaffoltern
256,21030,Suhr
257,62174,Sulgen
258,53231,Sumiswald-Grünen ETB
259,91934,Surava
260,20073,Sursee
261,20503,Sursee Wassermatte
262,41186,Sévaz (embr)
263,91751,Tavanasa-Breil/Brigels
264,52183,Taverne-Torricella
265,60228,Thalheim-Altikon
266,156281,Thun GB
267,91892,Thusis
268,41046,Thörishaus Station
269,93690,Tirano
270,91769,Trun
271,16022,Turtmann
272,90530,Untervaz-Trimmis
273,157784,Vernier-Meyrin Cargo
274,91686,Versam-Safien
275,13037,Villeneuve
276,16055,Visp
277,11163,Vufflens-la-Ville
278,20172,Waldibrücke
279,155408,Waltenschwil
280,2162,Wangen bei Olten
281,94193,Weesen
282,61051,Weinfelden
283,61911,Weinfelden Süd
284,31237,Wetzikon
285,70078,Wichtrach
286,62067,Wil
287,21154,Wildegg
288,80879,Wiler
289,60012,Winterthur Grüze
290,60327,Winterthur West
291,22137,Wohlen
292,42002,Yverdon-les-Bains
293,41301,Yvonand
294,92627,Zernez
295,44909,Zihlbrücke
296,90019,Zizers SBB  
297,20016,Zofingen
298,44107,Zollikofen
299,22046,Zug
300,34058,Zweidlen
301,30916,Zürich Giesshübel
302,30122,Zürich Herdern
303,30395,Zürich Mülligen
304,35071,Zürich RB Limmattal
305,35469,Zürich RB Limmattal Wagenrep.
306,30049,Zürich Tiefenbrunnen
307,30254,Zürich Vorbahnhof
