,Name_Store,Address
88,Buchs SG,"Churerstrasse 10, 9470 Buchs SG"
89,Bulle - Gruyère-Centre,"Rue Château d'En-Bas 2, 1630 Bulle"
90,Buochs,"Ennetbürgerstrasse 45, 6374 Buochs"
91,Burgdorf - Neumarkt,"Lyssachstrasse 27, 3400 Burgdorf"
92,Bussigny,"Rue de la Gare 2, 1030 Bussigny-Lausanne"
93,Bülach - Sonnenhof,"Bahnhofstrasse 28, 8180 Bülach"
94,Bülach Süd,"Feldstrasse 85, 8180 Bülach"
95,Bürglen/Altdorf - Urnertor,"Gotthardstrasse 67, 6460 Altdorf UR"
96,Bütschwil,"Landstrasse 41, 9606 Bütschwil"
97,Carouge - MParc La Praille,"Avenue Vibert 32, 1227 Carouge GE"
98,Carouge - Vibert,"Avenue Vibert 29, 1227 Carouge GE"
99,Caslano,"Via Stazione 80, 6987 Caslano"
100,Centro Agno,"Via Lugano 21, 6982 Agno"
101,Centro S.Antonino,"Via Serrai 5, 6592 S. Antonino"
102,Cernier,"Rue Comble-Emine 5, 2053 Cernier"
103,Cham - Neudorf,"Zugerstrasse 15/17, 6330 Cham"
104,Chavannes - Renens,"Avenue du Tir-Fédéral 12, 1022 Chavannes-Renens"
105,Chavannes les Cèdres,"Avenue de la Gare 84, 1022 Chavannes-près-Renens"
106,Chez-le-Bart - Béroche,"Rue de Combamare 21, 2025 Chez-le-Bart"
107,Chiasso - Boffalora,"Via Bernardino Luini, 6830 Chiasso"
108,Chur - Calandapark,"Pargherastrasse 1-3, 7000 Chur"
109,Chur - Gäuggeli,"Gäuggelistrasse 28, 7000 Chur"
110,Chur Masans,"Masanserstrasse 240, 7000 Chur"
111,Churwalden,"Hauptstrasse 146, 7075 Churwalden"
112,Châtel-St-Denis,"Rte de Montreux 56, 1618 Châtel-St-Denis"
113,Chêne-Bourg,"Avenue de Bel-Air 12, 1225 Chêne-Bourg"
114,Clarens - Centre,"Rue du Léman 9, 1815 Clarens"
115,Collombey,"Entre-deux-Fossaux, 1868 Collombey"
116,Collombey,"Pré du Pont 103, 1868 Collombey"
117,Collonge-Bellerive - Vésenaz,"Route de Thonon 55, 1245 Collonge-Bellerive"
118,Colombier,"Avenue de la Gare 16, 2013 Colombier NE"
119,Conthey - Forum des Alpes,"Route des Rottes 15, 1964 Conthey"
120,Cortaillod,"Chemin de Ronzi 2, 2016 Cortaillod"
121,Cossonay,"Route des Chavannes 1, 1304 Cossonay-Ville"
122,Courtepin,"Route de l'Industrie 25, 1784 Courtepin"
123,Crans-Montana,"Route du Rawyl 32, 3963 Crans-Montana"
